UniProt Acc,Gene Name,Protein Name
P23526,AHCY,Adenosylhomocysteinase
Q92598,HSPH1,Heat shock protein 105 kDa
Q9Y4G8,RAPGEF2,Rap guanine nucleotide exchange factor 2
Q9Y586,MAB21L2,Protein mab-21-like 2
P55040,GEM,GTP-binding protein GEM
O60921,HUS1,Checkpoint protein HUS1
Q9BZ23,PANK2,"Pantothenate kinase 2, mitochondrial"
P02771,AFP,Alpha-fetoprotein
Q8TE04,PANK1,Pantothenate kinase 1
Q8N5C8,TAB3,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3
O14929,HAT1,Histone acetyltransferase type B catalytic subunit
P24534,EEF1B2,Elongation factor 1-beta
O14829,PPEF1,Serine/threonine-protein phosphatase with EF-hands 1
Q96HR9,REEP6,Receptor expression-enhancing protein 6
P23471,PTPRZ1,Receptor-type tyrosine-protein phosphatase zeta
Q9NZN3,EHD3,EH domain-containing protein 3
Q9Y5Z0,BACE2,Beta-secretase 2
Q14676,MDC1,Mediator of DNA damage checkpoint protein 1
P30085,CMPK1,UMP-CMP kinase
P55196,AFDN,Afadin
Q9H4B7,TUBB1,Tubulin beta-1 chain
Q8IYW5,RNF168,E3 ubiquitin-protein ligase RNF168
Q99418,CYTH2,Cytohesin-2
P35070,BTC,Probetacellulin
Q9BRQ0,PYGO2,Pygopus homolog 2
Q96DZ5,CLIP3,CAP-Gly domain-containing linker protein 3
O14975,SLC27A2,Long-chain fatty acid transport protein 2
Q6AWC2,WWC2,Protein WWC2
Q13316,DMP1,Dentin matrix acidic phosphoprotein 1
Q9ULV4,CORO1C,Coronin-1C
O75340,PDCD6,Programmed cell death protein 6
P10599,TXN,Thioredoxin
Q9P0N9,TBC1D7,TBC1 domain family member 7
Q8WWI1,LMO7,LIM domain only protein 7
O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1
Q9BTA9,WAC,WW domain-containing adapter protein with coiled-coil
P49643,PRIM2,DNA primase large subunit
Q8TCT1,PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase
Q9UPN4,CEP131,Centrosomal protein of 131 kDa
P50461,CSRP3,Cysteine and glycine-rich protein 3
Q9NUC0,SERTAD4,SERTA domain-containing protein 4
P35523,CLCN1,Chloride channel protein 1
Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1
Q9NPI6,DCP1A,mRNA-decapping enzyme 1A
P14316,IRF2,Interferon regulatory factor 2
O95863,SNAI1,Zinc finger protein SNAI1
Q5SW79,CEP170,Centrosomal protein of 170 kDa
Q5T0N5,FNBP1L,Formin-binding protein 1-like
O15127,SCAMP2,Secretory carrier-associated membrane protein 2
P49720,PSMB3,Proteasome subunit beta type-3
O00213,APBB1,Amyloid beta precursor protein binding family B member 1
Q86U42,PABPN1,Polyadenylate-binding protein 2
Q9NXR1,NDE1,Nuclear distribution protein nudE homolog 1
Q15633,TARBP2,RISC-loading complex subunit TARBP2
P04183,TK1,"Thymidine kinase, cytosolic"
P18669,PGAM1,Phosphoglycerate mutase 1
Q00005,PPP2R2B,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform
Q9H944,MED20,Mediator of RNA polymerase II transcription subunit 20
P78324,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1
Q99829,CPNE1,Copine-1
O75554,WBP4,WW domain-binding protein 4
Q96JQ5,MS4A4A,Membrane-spanning 4-domains subfamily A member 4A
P43897,TSFM,"Elongation factor Ts, mitochondrial"
Q9NS86,LANCL2,LanC-like protein 2
O43813,LANCL1,Glutathione S-transferase LANCL1
Q7LBR1,CHMP1B,Charged multivesicular body protein 1b
Q13190,STX5,Syntaxin-5
Q16690,DUSP5,Dual specificity protein phosphatase 5
P55851,UCP2,Dicarboxylate carrier SLC25A8
O43424,GRID2,"Glutamate receptor ionotropic, delta-2"
O43613,HCRTR1,Orexin/Hypocretin receptor type 1
Q9Y296,TRAPPC4,Trafficking protein particle complex subunit 4
P0DPH7,TUBA3C,Tubulin alpha-3C chain
Q9NVP2,ASF1B,Histone chaperone ASF1B
P48509,CD151,CD151 antigen
O43715,TRIAP1,TP53-regulated inhibitor of apoptosis 1
Q12866,MERTK,Tyrosine-protein kinase Mer
P84077,ARF1,ADP-ribosylation factor 1
Q9NZQ3,NCKIPSD,NCK-interacting protein with SH3 domain
Q13639,HTR4,5-hydroxytryptamine receptor 4
O75689,ADAP1,Arf-GAP with dual PH domain-containing protein 1
P02461,COL3A1,Collagen alpha-1(III) chain
Q92851,CASP10,Caspase-10
Q9UNF0,PACSIN2,Protein kinase C and casein kinase substrate in neurons protein 2
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10
Q01094,E2F1,Transcription factor E2F1
P24158,PRTN3,Myeloblastin
Q9BY11,PACSIN1,Protein kinase C and casein kinase substrate in neurons protein 1
P21554,CNR1,Cannabinoid receptor 1
P23945,FSHR,Follicle-stimulating hormone receptor
P15559,NQO1,NAD(P)H dehydrogenase [quinone] 1
P08709,F7,Coagulation factor VII
P06454,PTMA,Prothymosin alpha
O75116,ROCK2,Rho-associated protein kinase 2
Q9UNI1,CELA1,Chymotrypsin-like elastase family member 1
P13727,PRG2,Bone marrow proteoglycan
P51571,SSR4,Translocon-associated protein subunit delta
P05787,KRT8,"Keratin, type II cytoskeletal 8"
P02775,PPBP,Platelet basic protein
P29120,PCSK1,Neuroendocrine convertase 1
Q9Y2S7,POLDIP2,Polymerase delta-interacting protein 2
Q92556,ELMO1,Engulfment and cell motility protein 1
P16519,PCSK2,Neuroendocrine convertase 2
Q9UBK5,HCST,Hematopoietic cell signal transducer
Q07889,SOS1,Son of sevenless homolog 1
Q16204,CCDC6,Coiled-coil domain-containing protein 6
Q9BRR9,ARHGAP9,Rho GTPase-activating protein 9
Q14653,IRF3,Interferon regulatory factor 3
P49863,GZMK,Granzyme K
Q6P0N0,MIS18BP1,Mis18-binding protein 1
P10451,SPP1,Osteopontin
O95661,DIRAS3,GTP-binding protein Di-Ras3
Q16143,SNCB,Beta-synuclein
Q9UBF1,MAGEC2,Melanoma-associated antigen C2
O75112,LDB3,LIM domain-binding protein 3
Q99873,PRMT1,Protein arginine N-methyltransferase 1
Q16763,UBE2S,Ubiquitin-conjugating enzyme E2 S
P12429,ANXA3,Annexin A3
Q9BQQ3,GORASP1,Golgi reassembly-stacking protein 1
P53567,CEBPG,CCAAT/enhancer-binding protein gamma
Q96IG2,FBXL20,F-box/LRR-repeat protein 20
Q6ZNL6,FGD5,"FYVE, RhoGEF and PH domain-containing protein 5"
P17600,SYN1,Synapsin-1
O95747,OXSR1,Serine/threonine-protein kinase OSR1
Q96KB5,PBK,Lymphokine-activated killer T-cell-originated protein kinase
Q9NRR8,CDC42SE1,CDC42 small effector protein 1
Q9P0N8,MARCHF2,E3 ubiquitin-protein ligase MARCHF2
P55895,RAG2,V(D)J recombination-activating protein 2
Q70Z35,PREX2,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein"
O95278,EPM2A,Laforin
Q9P227,ARHGAP23,Rho GTPase-activating protein 23
P04080,CSTB,Cystatin-B
P98171,ARHGAP4,Rho GTPase-activating protein 4
P25815,S100P,Protein S100-P
Q14142,TRIM14,Tripartite motif-containing protein 14
P55916,UCP3,Putative mitochondrial transporter UCP3
Q9NPC2,KCNK9,Potassium channel subfamily K member 9
Q12967,RALGDS,Ral guanine nucleotide dissociation stimulator
Q9HB29,IL1RL2,Interleukin-1 receptor-like 2
P78536,ADAM17,Disintegrin and metalloproteinase domain-containing protein 17
Q6EEV6,SUMO4,Small ubiquitin-related modifier 4
Q9H427,KCNK15,Potassium channel subfamily K member 15
Q8N6T7,SIRT6,NAD-dependent protein deacylase sirtuin-6
Q92832,NELL1,Protein kinase C-binding protein NELL1
P35227,PCGF2,Polycomb group RING finger protein 2
P53779,MAPK10,Mitogen-activated protein kinase 10
Q68EM7,ARHGAP17,Rho GTPase-activating protein 17
Q9ULL1,PLEKHG1,Pleckstrin homology domain-containing family G member 1
Q13541,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1
P12755,SKI,Ski oncogene
P10144,GZMB,Granzyme B
Q14145,KEAP1,Kelch-like ECH-associated protein 1
Q9H7Z6,KAT8,Histone acetyltransferase KAT8
Q8IZD9,DOCK3,Dedicator of cytokinesis protein 3
P19875,CXCL2,C-X-C motif chemokine 2
O14827,RASGRF2,Ras-specific guanine nucleotide-releasing factor 2
Q96LB2,MRGPRX1,Mas-related G-protein coupled receptor member X1
P04908,H2AC8,Histone H2A type 1-B/E
P34995,PTGER1,Prostaglandin E2 receptor EP1 subtype
P20941,PDC,Phosducin
P59768,GNG2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2
Q9P2F6,ARHGAP20,Rho GTPase-activating protein 20
P19876,CXCL3,C-X-C motif chemokine 3
Q9Y623,MYH4,Myosin-4
O00220,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A
P51809,VAMP7,Vesicle-associated membrane protein 7
Q8IWW6,ARHGAP12,Rho GTPase-activating protein 12
Q9P107,GMIP,GEM-interacting protein
P07225,PROS1,Vitamin K-dependent protein S
O43805,SSNA1,Microtubule nucleation factor SSNA1
O43295,SRGAP3,SLIT-ROBO Rho GTPase-activating protein 3
Q8IYJ3,SYTL1,Synaptotagmin-like protein 1
P50549,ETV1,ETS translocation variant 1
Q6XZF7,DNMBP,Dynamin-binding protein
P49918,CDKN1C,Cyclin-dependent kinase inhibitor 1C
Q9UBF6,RNF7,RING-box protein 2
Q8N5I3,KCNRG,Potassium channel regulatory protein
Q6ZUM4,ARHGAP27,Rho GTPase-activating protein 27
Q9NP62,GCM1,Chorion-specific transcription factor GCMa
Q9NY65,TUBA8,Tubulin alpha-8 chain
Q04724,TLE1,Transducin-like enhancer protein 1
Q9NYF5,FAM13B,Protein FAM13B
O15013,ARHGEF10,Rho guanine nucleotide exchange factor 10
O15260,SURF4,Surfeit locus protein 4
Q15027,ACAP1,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1"
Q96P48,ARAP1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1"
Q9HCY8,S100A14,Protein S100-A14
P17342,NPR3,Atrial natriuretic peptide receptor 3
O95759,TBC1D8,TBC1 domain family member 8
P23921,RRM1,Ribonucleoside-diphosphate reductase large subunit
O14782,KIF3C,Kinesin-like protein KIF3C
Q5VUB5,FAM171A1,Protein FAM171A1
P51970,NDUFA8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8
Q8TDN4,CABLES1,CDK5 and ABL1 enzyme substrate 1
Q9NS85,CA10,Carbonic anhydrase-related protein 10
Q13772,NCOA4,Nuclear receptor coactivator 4
P62316,SNRPD2,Small nuclear ribonucleoprotein Sm D2
Q9P015,MRPL15,Large ribosomal subunit protein uL15m
P08603,CFH,Complement factor H
Q9H2J7,SLC6A15,Sodium-dependent neutral amino acid transporter B(0)AT2
Q9NUQ3,TXLNG,Gamma-taxilin
Q9NS91,RAD18,E3 ubiquitin-protein ligase RAD18
Q7Z2W4,ZC3HAV1,Zinc finger CCCH-type antiviral protein 1
O15231,ZNF185,Zinc finger protein 185
O95834,EML2,Echinoderm microtubule-associated protein-like 2
Q15125,EBP,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase"
P82663,MRPS25,Small ribosomal subunit protein mS25
Q15165,PON2,Serum paraoxonase/arylesterase 2
P05981,HPN,Serine protease hepsin
O60829,PAGE4,P antigen family member 4
Q00887,PSG9,Pregnancy-specific beta-1-glycoprotein 9
O43930,PRKY,Putative serine/threonine-protein kinase PRKY
P48029,SLC6A8,Sodium- and chloride-dependent creatine transporter 1
Q9NRA8,EIF4ENIF1,Eukaryotic translation initiation factor 4E transporter
Q14088,RAB33A,Ras-related protein Rab-33A
P54709,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3
Q92947,GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial"
P01111,NRAS,GTPase NRas
O14967,CLGN,Calmegin
O43818,RRP9,U3 small nucleolar RNA-interacting protein 2
O14662,STX16,Syntaxin-16
Q6UX01,LMBR1L,Protein LMBR1L
Q9UBS3,DNAJB9,DnaJ homolog subfamily B member 9
O43711,TLX3,T-cell leukemia homeobox protein 3
Q01973,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1
P78317,RNF4,E3 ubiquitin-protein ligase RNF4
Q86YS7,C2CD5,C2 domain-containing protein 5
P01241,GH1,Somatotropin
Q12857,NFIA,Nuclear factor 1 A-type
Q14515,SPARCL1,SPARC-like protein 1
Q99650,OSMR,Oncostatin-M-specific receptor subunit beta
Q6UY27,PATE2,Prostate and testis expressed protein 2
P35711,SOX5,Transcription factor SOX-5
Q9BVS5,TRMT61B,"tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial"
Q96HN2,AHCYL2,Adenosylhomocysteinase 3
Q9P2H0,CEP126,Centrosomal protein of 126 kDa
O14880,MGST3,"Glutathione S-transferase 3, mitochondrial"
Q6PHR2,ULK3,Serine/threonine-protein kinase ULK3
P55769,SNU13,NHP2-like protein 1
O14578,CIT,Citron Rho-interacting kinase
P02656,APOC3,Apolipoprotein C-III
P02533,KRT14,"Keratin, type I cytoskeletal 14"
Q6IAN0,DHRS7B,Dehydrogenase/reductase SDR family member 7B
P54886,ALDH18A1,Delta-1-pyrroline-5-carboxylate synthase
O00182,LGALS9,Galectin-9
O43402,EMC8,ER membrane protein complex subunit 8
O15042,U2SURP,U2 snRNP-associated SURP motif-containing protein
Q9Y5Y0,FLVCR1,Choline/ethanolamine transporter FLVCR1
Q15404,RSU1,Ras suppressor protein 1
Q9UIR0,BTNL2,Butyrophilin-like protein 2
Q8NHU6,TDRD7,Tudor domain-containing protein 7
Q9NY28,GALNT8,Probable polypeptide N-acetylgalactosaminyltransferase 8
Q9NY72,SCN3B,Sodium channel regulatory subunit beta-3
P11172,UMPS,Uridine 5'-monophosphate synthase
Q9NWT8,AURKAIP1,Small ribosomal subunit protein mS38
P47871,GCGR,Glucagon receptor
P01893,HLA-H,"Putative HLA class I histocompatibility antigen, alpha chain H"
P49755,TMED10,Transmembrane emp24 domain-containing protein 10
Q96N21,TEPSIN,AP-4 complex accessory subunit Tepsin
Q9BU76,MMTAG2,Multiple myeloma tumor-associated protein 2
Q9Y3S2,ZNF330,Zinc finger protein 330
Q9Y2Y8,PRG3,Proteoglycan 3
Q92730,RND1,Rho-related GTP-binding protein Rho6
P04629,NTRK1,High affinity nerve growth factor receptor
P78383,SLC35B1,Solute carrier family 35 member B1
Q9NYK5,MRPL39,Large ribosomal subunit protein mL39
Q9H4M7,PLEKHA4,Pleckstrin homology domain-containing family A member 4
P46199,MTIF2,"Translation initiation factor IF-2, mitochondrial"
Q9NRC8,SIRT7,NAD-dependent protein deacetylase sirtuin-7
O95817,BAG3,BAG family molecular chaperone regulator 3
Q8NFW8,CMAS,N-acylneuraminate cytidylyltransferase
Q8N3V7,SYNPO,Synaptopodin
P13473,LAMP2,Lysosome-associated membrane glycoprotein 2
P49721,PSMB2,Proteasome subunit beta type-2
P31350,RRM2,Ribonucleoside-diphosphate reductase subunit M2
Q10589,BST2,Bone marrow stromal antigen 2
O95159,ZFPL1,Zinc finger protein-like 1
Q9HBM0,VEZT,Vezatin
Q9NXB0,MKS1,Tectonic-like complex member MKS1
Q9BQI6,SLF1,SMC5-SMC6 complex localization factor protein 1
Q8TAL6,FIBIN,Fin bud initiation factor homolog
Q9BXB4,OSBPL11,Oxysterol-binding protein-related protein 11
Q8NBJ7,SUMF2,Inactive C-alpha-formylglycine-generating enzyme 2
Q86Z20,CCDC125,Coiled-coil domain-containing protein 125
Q96CS2,HAUS1,HAUS augmin-like complex subunit 1
Q6PML9,SLC30A9,"Proton-coupled zinc antiporter SLC30A9, mitochondrial"
Q9NS64,RPRM,Protein reprimo
P50607,TUB,Tubby protein homolog
Q99798,ACO2,"Aconitate hydratase, mitochondrial"
Q96NT0,CCDC115,Coiled-coil domain-containing protein 115
P02763,ORM1,Alpha-1-acid glycoprotein 1
Q92843,BCL2L2,Bcl-2-like protein 2
O75616,ERAL1,"GTPase Era, mitochondrial"
Q13106,ZNF154,Zinc finger protein 154
Q15369,ELOC,Elongin-C
P42694,HELZ,Probable helicase with zinc finger domain
P62072,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10
Q9NWS0,PIH1D1,PIH1 domain-containing protein 1
Q7Z7F7,MRPL55,Large ribosomal subunit protein mL55
Q9C035,TRIM5,Tripartite motif-containing protein 5
Q9HD45,TM9SF3,Transmembrane 9 superfamily member 3
P12830,CDH1,Cadherin-1
Q9NS66,GPR173,Probable G-protein coupled receptor 173
Q9NVM4,PRMT7,Protein arginine N-methyltransferase 7
Q9NP90,RAB9B,Ras-related protein Rab-9B
Q8TDC0,MYOZ3,Myozenin-3
P48651,PTDSS1,Phosphatidylserine synthase 1
P48382,RFX5,DNA-binding protein RFX5
O95843,GUCA1C,Guanylyl cyclase-activating protein 3
Q9H0P0,NT5C3A,Cytosolic 5'-nucleotidase 3A
Q8N8D7,NKAIN3,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 3
Q9H0F5,RNF38,E3 ubiquitin-protein ligase RNF38
Q08AD1,CAMSAP2,Calmodulin-regulated spectrin-associated protein 2
P28799,GRN,Progranulin
Q8NHQ1,CEP70,Centrosomal protein of 70 kDa
O75569,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A
P14314,PRKCSH,Glucosidase 2 subunit beta
O95199,RCBTB2,RCC1 and BTB domain-containing protein 2
O00264,PGRMC1,Membrane-associated progesterone receptor component 1
P31949,S100A11,Protein S100-A11
Q7Z406,MYH14,Myosin-14
O00422,SAP18,Histone deacetylase complex subunit SAP18
P08118,MSMB,Beta-microseminoprotein
P52569,SLC7A2,Cationic amino acid transporter 2
P82979,SARNP,SAP domain-containing ribonucleoprotein
Q9GZM5,YIPF3,Protein YIPF3
Q8IY17,PNPLA6,Patatin-like phospholipase domain-containing protein 6
Q6ZN55,ZNF574,Zinc finger protein 574
Q8N9Q2,SREK1IP1,Protein SREK1IP1
Q14055,COL9A2,Collagen alpha-2(IX) chain
Q96J01,THOC3,THO complex subunit 3
Q8N302,AGGF1,Angiogenic factor with G patch and FHA domains 1
Q9NZR1,TMOD2,Tropomodulin-2
Q13520,AQP6,Aquaporin-6
Q9Y661,HS3ST4,Heparan sulfate glucosamine 3-O-sulfotransferase 4
Q9P2I0,CPSF2,Cleavage and polyadenylation specificity factor subunit 2
Q13007,IL24,Interleukin-24
O60934,NBN,Nibrin
Q9NRF9,POLE3,DNA polymerase epsilon subunit 3
Q96SL8,FIZ1,Flt3-interacting zinc finger protein 1
Q8N4C6,NIN,Ninein
O95785,WIZ,Protein Wiz
Q9Y2R9,MRPS7,Small ribosomal subunit protein uS7m
P49788,RARRES1,Retinoic acid receptor responder protein 1
Q9UBU7,DBF4,Protein DBF4 homolog A
P61927,RPL37,Large ribosomal subunit protein eL37
Q03154,ACY1,Aminoacylase-1
Q9UIU6,SIX4,Homeobox protein SIX4
Q96QC0,PPP1R10,Serine/threonine-protein phosphatase 1 regulatory subunit 10
Q15911,ZFHX3,Zinc finger homeobox protein 3
Q99581,FEV,Protein FEV
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11
P67870,CSNK2B,Casein kinase II subunit beta
Q9C0E2,XPO4,Exportin-4
Q96PK6,RBM14,RNA-binding protein 14
O95477,ABCA1,Phospholipid-transporting ATPase ABCA1
P35610,SOAT1,Sterol O-acyltransferase 1
P31942,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3
Q9UPY8,MAPRE3,Microtubule-associated protein RP/EB family member 3
A1A4G5,LNP1,Leukemia NUP98 fusion partner 1
Q96FE5,LINGO1,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1
Q9UPU5,USP24,Ubiquitin carboxyl-terminal hydrolase 24
Q8IZV2,CMTM8,CKLF-like MARVEL transmembrane domain-containing protein 8
Q9Y467,SALL2,Sal-like protein 2
Q8NDV3,SMC1B,Structural maintenance of chromosomes protein 1B
Q9BQB6,VKORC1,Vitamin K epoxide reductase complex subunit 1
Q9GZT6,CCDC90B,"Coiled-coil domain-containing protein 90B, mitochondrial"
Q8WV16,DCAF4,DDB1- and CUL4-associated factor 4
Q9BYN8,MRPS26,Small ribosomal subunit protein mS26
Q92791,P3H4,Endoplasmic reticulum protein SC65
P55735,SEC13,Protein SEC13 homolog
Q7Z3Y8,KRT27,"Keratin, type I cytoskeletal 27"
Q14202,ZMYM3,Zinc finger MYM-type protein 3
Q14192,FHL2,Four and a half LIM domains protein 2
O96028,NSD2,Histone-lysine N-methyltransferase NSD2
P10176,COX8A,"Cytochrome c oxidase subunit 8A, mitochondrial"
Q96RT7,TUBGCP6,Gamma-tubulin complex component 6
Q9H3S4,TPK1,Thiamine pyrophosphokinase 1
P08727,KRT19,"Keratin, type I cytoskeletal 19"
P40926,MDH2,"Malate dehydrogenase, mitochondrial"
Q9UJJ7,RPUSD1,RNA pseudouridylate synthase domain-containing protein 1
P09467,FBP1,"Fructose-1,6-bisphosphatase 1"
P14138,EDN3,Endothelin-3
Q96S55,WRNIP1,ATPase WRNIP1
Q15648,MED1,Mediator of RNA polymerase II transcription subunit 1
P03950,ANG,Angiogenin
Q96Q83,ALKBH3,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
Q9UBR2,CTSZ,Cathepsin Z
O75096,LRP4,Low-density lipoprotein receptor-related protein 4
Q8IXK2,GALNT12,Polypeptide N-acetylgalactosaminyltransferase 12
P10147,CCL3,C-C motif chemokine 3
Q9BV68,RNF126,E3 ubiquitin-protein ligase RNF126
Q14296,FASTK,Fas-activated serine/threonine kinase
Q6P1J9,CDC73,Parafibromin
P30825,SLC7A1,High affinity cationic amino acid transporter 1
Q6EEV4,POLR2M,"DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5"
Q8N6Y0,USHBP1,Harmonin-binding protein USHBP1
Q8TDD2,SP7,Transcription factor Sp7
Q15628,TRADD,Tumor necrosis factor receptor type 1-associated DEATH domain protein
Q02218,OGDH,2-oxoglutarate dehydrogenase complex component E1
Q9Y580,RBM7,RNA-binding protein 7
Q8NE01,CNNM3,Metal transporter CNNM3
Q96T51,RUFY1,RUN and FYVE domain-containing protein 1
P02814,SMR3B,Submaxillary gland androgen-regulated protein 3B
Q8TAC1,RFESD,Rieske domain-containing protein
P68032,ACTC1,"Actin, alpha cardiac muscle 1"
O00505,KPNA3,Importin subunit alpha-4
P08754,GNAI3,Guanine nucleotide-binding protein G(i) subunit alpha-3
Q96EK5,KIFBP,KIF-binding protein
P62068,USP46,Ubiquitin carboxyl-terminal hydrolase 46
P34949,MPI,Mannose-6-phosphate isomerase
Q9UPU7,TBC1D2B,TBC1 domain family member 2B
Q8N3F8,MICALL1,MICAL-like protein 1
P58107,EPPK1,Epiplakin
Q9BZX2,UCK2,Uridine-cytidine kinase 2
Q8IXL9,IQCF2,IQ domain-containing protein F2
Q9BXS9,SLC26A6,Solute carrier family 26 member 6
P00450,CP,Ceruloplasmin
P36542,ATP5F1C,"ATP synthase subunit gamma, mitochondrial"
P01042,KNG1,Kininogen-1
O14579,COPE,Coatomer subunit epsilon
Q96CW1,AP2M1,AP-2 complex subunit mu
Q9Y4J8,DTNA,Dystrobrevin alpha
Q15031,LARS2,"Leucine--tRNA ligase, mitochondrial"
Q9HCM4,EPB41L5,Band 4.1-like protein 5
Q6ZVX7,NCCRP1,F-box only protein 50
Q15004,PCLAF,PCNA-associated factor
P23497,SP100,Nuclear autoantigen Sp-100
P49356,FNTB,Protein farnesyltransferase subunit beta
Q5T1V6,DDX59,Probable ATP-dependent RNA helicase DDX59
Q9HAU4,SMURF2,E3 ubiquitin-protein ligase SMURF2
Q04828,AKR1C1,Aldo-keto reductase family 1 member C1
Q92614,MYO18A,Unconventional myosin-XVIIIa
Q92817,EVPL,Envoplakin
Q8N4C8,MINK1,Misshapen-like kinase 1
Q13277,STX3,Syntaxin-3
Q96EP1,CHFR,E3 ubiquitin-protein ligase CHFR
Q9BSU3,NAA11,N-alpha-acetyltransferase 11
Q6ZN44,UNC5A,Netrin receptor UNC5A
Q08357,SLC20A2,Sodium-dependent phosphate transporter 2
Q9NRG1,PRTFDC1,Phosphoribosyltransferase domain-containing protein 1
P78545,ELF3,ETS-related transcription factor Elf-3
O60287,URB1,Nucleolar pre-ribosomal-associated protein 1
Q13492,PICALM,Phosphatidylinositol-binding clathrin assembly protein
O75915,ARL6IP5,PRA1 family protein 3
Q9UIH9,KLF15,Krueppel-like factor 15
Q9UM13,ANAPC10,Anaphase-promoting complex subunit 10
Q8NA54,IQUB,IQ motif and ubiquitin-like domain-containing protein
Q9NW64,RBM22,Pre-mRNA-splicing factor RBM22
P98196,ATP11A,Phospholipid-transporting ATPase IH
Q8NBT2,SPC24,Kinetochore protein Spc24
Q15646,OASL,2'-5'-oligoadenylate synthase-like protein
A6NHT5,HMX3,Homeobox protein HMX3
Q6UY14,ADAMTSL4,ADAMTS-like protein 4
Q8IWC1,MAP7D3,MAP7 domain-containing protein 3
