,Gene,Alphafold IDR Content,Length,Localization,MultiUniReD Protein Counts,HIPPIE Protein Counts
Q02363,ID2,67.2,134,"['Cytoplasm', 'Nucleus']",124,87
Q03692,COL10A1,79.9,680,"['Secreted, extracellular space, extracellular matrix']",44,35
Q05193,DNM1,16.1,864,"['Cell membrane', 'Membrane, clathrin-coated pit', 'Cytoplasmic vesicle', 'Presynapse', 'Cytoplasmic vesicle, secretory vesicle, chromaffin granule']",76,91
Q05397,PTK2,26.3,1052,"['Cell junction, focal adhesion', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm, perinuclear region', 'Cytoplasm, cell cortex', 'Cytoplasm, cytoskeleton', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Nucleus', 'Cytoplasm, cytoskeleton, cilium basal body', 'Cytoplasm']",185,216
Q06141,REG3A,23.4,175,['Secreted'],75,15
Q07157,TJP1,62.2,1748,"['Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Cell junction, tight junction', 'Cell junction', 'Cell junction, gap junction', 'Cell projection, podosome']",82,214
Q07820,MCL1,52.6,350,"['Membrane; Single-pass membrane protein', 'Cytoplasm', 'Mitochondrion', 'Nucleus, nucleoplasm']",198,107
Q08188,TGM3,2.2,693,['Cytoplasm'],68,122
Q09428,ABCC8,8.0,1581,['Cell membrane; Multi-pass membrane protein'],20,10
Q10589,BST2,79.4,180,"['Golgi apparatus, trans-Golgi network', 'Cell membrane; Single-pass type II membrane protein', 'Cell membrane; Lipid-anchor, GPI-anchor', 'Membrane raft', 'Cytoplasm', 'Apical cell membrane', 'Golgi apparatus, trans-Golgi network', 'Late endosome']",127,47
Q12888,TP53BP1,80.0,1972,"['Nucleus', 'Chromosome', 'Chromosome, centromere, kinetochore']",88,433
Q12962,TAF10,65.1,218,['Nucleus'],15,88
Q13043,STK4,29.8,487,"['Cytoplasm', 'Nucleus']",138,315
Q13153,PAK1,35.2,545,"['Cytoplasm', 'Cell junction, focal adhesion', 'Cell projection, lamellipodium', 'Cell membrane', 'Cell projection, ruffle membrane', 'Cell projection, invadopodium', 'Nucleus, nucleoplasm', 'Chromosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",139,207
Q13162,PRDX4,29.2,271,"['Cytoplasm', 'Endoplasmic reticulum']",28,153
Q13164,MAPK7,49.9,816,"['Cytoplasm', 'Nucleus', 'Nucleus, PML body']",93,120
Q13177,PAK2,33.4,524,"['[Serine/threonine-protein kinase PAK 2]: Cytoplasm', 'Nucleus', '[PAK-2p34]: Nucleus', 'Cytoplasm, perinuclear region', 'Membrane; Lipid-anchor']",107,174
Q13224,GRIN2B,46.1,1484,"['Cell membrane; Multi-pass membrane protein', 'Postsynaptic cell membrane; Multi-pass membrane protein', 'Late endosome', 'Lysosome', 'Cytoplasm, cytoskeleton']",57,48
Q13316,DMP1,100.0,513,"['Nucleus', 'Cytoplasm', 'Secreted, extracellular space, extracellular matrix']",35,3
Q13363,CTBP1,23.0,440,"['Cytoplasm', 'Nucleus']",81,610
Q13480,GAB1,82.7,694,None,105,135
Q13526,PIN1,6.1,163,"['Nucleus', 'Nucleus speckle', 'Cytoplasm']",127,348
Q13563,PKD2,33.2,968,"['Cell projection, cilium membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein', 'Basolateral cell membrane', 'Cytoplasmic vesicle membrane', 'Golgi apparatus', 'Vesicle', 'Secreted, extracellular exosome']",74,73
Q13586,STIM1,41.8,685,"['Cell membrane; Single-pass type I membrane protein', 'Endoplasmic reticulum membrane; Single-pass type I membrane protein', 'Cytoplasm, cytoskeleton', 'Sarcoplasmic reticulum']",99,316
Q13617,CUL2,1.1,745,['Nucleus'],48,488
Q13627,DYRK1A,51.0,763,"['Nucleus', 'Nucleus speckle']",45,387
Q13635,PTCH1,27.2,1447,['Cell membrane; Multi-pass membrane protein'],82,250
Q13838,DDX39B,10.5,428,"['Nucleus', 'Nucleus speckle', 'Cytoplasm']",51,381
Q14011,CIRBP,54.1,172,"['Nucleus, nucleoplasm', 'Cytoplasm']",30,138
Q14019,COTL1,7.7,142,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Nucleus']",51,30
Q14118,DAG1,47.6,895,"['[Alpha-dystroglycan]: Secreted, extracellular space', '[Beta-dystroglycan]: Cell membrane; Single-pass type I membrane protein', 'Cytoplasm, cytoskeleton', 'Nucleus, nucleoplasm', 'Cell membrane, sarcolemma', 'Postsynaptic cell membrane']",40,140
Q14181,POLA2,11.5,598,['Nucleus'],20,80
Q14258,TRIM25,19.7,630,"['Cytoplasm', 'Cytoplasm, Stress granule', 'Nucleus']",86,2102
Q14318,FKBP8,35.2,412,"['Mitochondrion', 'Mitochondrion membrane; Single-pass membrane protein; Cytoplasmic side']",80,435
Q14444,CAPRIN1,71.5,709,"['Cytoplasm, Cytoplasmic ribonucleoprotein granule', 'Cytoplasm, cytosol', 'Cell projection, dendrite', 'Cell projection, lamellipodium', 'Cytoplasm, cytosol']",60,215
Q14565,DMC1,6.5,340,"['Nucleus', 'Chromosome']",3,25
Q14691,GINS1,0.0,196,"['Nucleus', 'Chromosome']",23,23
Q14766,LTBP1,41.2,1721,"['Secreted', 'Secreted, extracellular space, extracellular matrix']",57,68
Q14849,STARD3,20.0,445,['Late endosome membrane; Multi-pass membrane protein'],36,63
Q14995,NR1D2,44.0,579,"['Nucleus', 'Cytoplasm']",16,57
Q15013,MAD2L1BP,24.5,274,"['Nucleus', 'Cytoplasm, cytoskeleton, spindle']",24,54
Q15059,BRD3,59.1,726,"['Nucleus', 'Chromosome']",52,445
Q15233,NONO,44.6,471,"['Nucleus', 'Nucleus, nucleolus', 'Nucleus speckle', 'Chromosome']",63,364
Q15276,RABEP1,39.4,862,"['Cytoplasm', 'Early endosome', 'Recycling endosome', 'Cytoplasmic vesicle']",51,145
Q15542,TAF5,28.7,800,['Nucleus'],4,74
Q15582,TGFBI,10.1,683,"['Secreted', 'Secreted, extracellular space, extracellular matrix']",82,14
Q15631,TSN,5.7,228,"['Cytoplasm', 'Nucleus']",4,61
Q15858,SCN9A,26.3,1988,"['Cell membrane; Multi-pass membrane protein', 'Cell projection, neuron projection']",8,3
Q16620,NTRK2,20.2,822,"['Cell membrane; Single-pass type I membrane protein', 'Endosome membrane; Single-pass type I membrane protein', 'Early endosome membrane', 'Cell projection, axon', 'Cell projection, dendrite', 'Cytoplasm, perinuclear region', 'Postsynaptic density']",88,42
Q16625,OCLN,42.7,522,"['Cell membrane; Multi-pass membrane protein', 'Cell junction, tight junction']",92,43
Q16629,SRSF7,61.3,238,"['Nucleus', 'Cytoplasm']",9,322
Q16630,CPSF6,68.4,551,"['Nucleus', 'Nucleus, nucleoplasm', 'Nucleus speckle', 'Cytoplasm']",11,203
Q16667,CDKN3,13.7,212,"['Cytoplasm, perinuclear region']",44,49
Q16740,CLPP,32.5,277,['Mitochondrion matrix'],45,309
Q16821,PPP1R3A,87.0,1122,['Membrane; Single-pass membrane protein'],9,48
Q16831,UPP1,6.8,310,None,0,64
Q17RS7,GEN1,49.4,908,['Nucleus'],4,19
Q2M1P5,KIF7,37.6,1343,"['Cell projection, cilium', 'Cytoplasm, cytoskeleton, cilium basal body']",47,128
Q2MKA7,RSPO1,44.5,263,"['Secreted', 'Nucleus']",2,14
Q4LE39,ARID4B,67.5,1312,"['Nucleus', 'Cytoplasm']",26,152
Q53FT3,HIKESHI,7.6,197,"['Cytoplasm', 'Cytoplasm, cytosol', 'Nucleus']",1,14
Q53TN4,CYBRD1,17.1,286,"['Cell membrane; Multi-pass membrane protein', 'Apical cell membrane; Multi-pass membrane protein']",2,43
Q58F21,BRDT,63.5,947,['Nucleus'],10,75
Q5D1E8,ZC3H12A,51.9,599,"['Nucleus', 'Cytoplasm', 'Cytoplasm, P-body', 'Rough endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasmic granule']",62,31
Q5FWF5,ESCO1,72.7,840,"['Nucleus', 'Chromosome']",12,19
Q5JRX3,PITRM1,3.5,1037,"['Mitochondrion', 'Mitochondrion matrix']",0,101
Q5T1C6,THEM4,18.3,240,"['Cell membrane', 'Cell projection, ruffle membrane', 'Cytoplasm', 'Mitochondrion', 'Mitochondrion inner membrane; Peripheral membrane protein', 'Mitochondrion intermembrane space']",13,76
Q5U651,RASIP1,25.2,963,"['Cytoplasm, perinuclear region', 'Golgi apparatus, Golgi stack']",5,18
Q658P3,STEAP3,12.7,488,['Endosome membrane; Multi-pass membrane protein'],29,119
Q68D10,SPTY2D1,98.8,685,"['Nucleus, nucleolus']",1,73
Q68J44,DUSP29,21.4,220,"['Cytoplasm', 'Nucleus']",2,0
Q6DD88,ATL3,7.4,541,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],42,137
Q6GQQ9,OTUD7B,45.9,843,"['Cytoplasm', 'Nucleus']",101,55
Q6P1M3,LLGL2,13.5,1020,['Cytoplasm'],33,106
Q6P1X5,TAF2,18.5,1199,['Nucleus'],9,106
Q6P4R8,NFRKB,66.6,1299,['Nucleus'],2,87
Q6PI48,DARS2,9.6,645,"['Mitochondrion matrix', 'Mitochondrion membrane']",17,110
Q6R327,RICTOR,35.2,1708,None,88,223
Q6V1X1,DPP8,5.7,898,['Cytoplasm'],41,42
Q6ZMT4,KDM7A,52.5,941,['Nucleus'],24,1
Q6ZNA4,RNF111,91.9,994,"['Nucleus', 'Cytoplasm', 'Nucleus, PML body']",29,89
Q6ZVN8,HJV,26.8,426,"['Cell membrane; Lipid-anchor, GPI- anchor']",7,4
Q7KZF4,SND1,5.3,910,"['Cytoplasm', 'Nucleus', 'Melanosome']",68,233
Q7L2J0,MEPCE,62.7,689,['Nucleus'],2,795
Q7RTN6,STRADA,22.0,431,"['Nucleus', 'Cytoplasm']",40,11
Q86TV6,TTC7B,8.3,843,"['Cytoplasm, cytosol', 'Cell membrane']",12,17
Q86XI6,PPP1R3B,51.2,285,None,1,19
Q86Y38,XYLT1,24.7,959,"['Golgi apparatus membrane; Single-pass type II membrane protein', 'Secreted']",29,13
Q8IVH4,MMAA,17.0,418,"['Mitochondrion', 'Cytoplasm']",1,5
Q8IVH8,MAP4K3,27.4,894,None,77,69
Q8IW75,SERPINA12,7.7,414,['Secreted'],22,86
Q8IWJ2,GCC2,41.0,1684,"['Cytoplasm', 'Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein']",27,90
Q8IY63,AMOTL1,74.6,956,"['Cell junction, tight junction']",24,77
Q8IYB8,SUPV3L1,18.3,786,"['Nucleus', 'Mitochondrion matrix', 'Mitochondrion matrix, mitochondrion nucleoid']",34,111
Q8IYV9,IZUMO1,31.7,350,"['Cell membrane; Single-pass type I membrane protein', 'Cytoplasmic vesicle, secretory vesicle, acrosome membrane; Single-pass type I membrane protein']",1,26
Q8N1Q8,THEM5,13.0,247,['Mitochondrion matrix'],1,0
Q8N300,SVBP,83.3,66,"['Cytoplasm', 'Secreted', 'Cytoplasm, cytoskeleton']",8,1
Q8N3V7,SYNPO,98.9,929,"['Cytoplasm, cytoskeleton', 'Cell junction, tight junction', 'Perikaryon', 'Cell projection, dendritic spine', 'Postsynaptic density', 'Synapse', 'Cytoplasm, cytosol']",9,176
Q8N5H7,SH2D3C,47.2,860,"['Cytoplasm', 'Cell membrane; Peripheral membrane protein', 'Cell projection, axon', 'Cell projection, ruffle membrane']",18,157
Q8N660,NBPF15,80.9,670,['Cytoplasm'],0,7
Q8N807,PDILT,18.8,584,['Endoplasmic reticulum'],1,3
Q8N884,CGAS,30.5,522,"['Nucleus', 'Chromosome', 'Cell membrane; Peripheral membrane protein', 'Cytoplasm, cytosol']",61,252
Q8NBI3,DRAXIN,77.9,349,['Secreted'],4,1
Q8NBZ7,UXS1,16.2,420,"['Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein']",0,75
Q8NC51,SERBP1,100.0,408,"['Cytoplasm', 'Nucleus', 'Cytoplasm, perinuclear region']",42,0
Q8NER1,TRPV1,26.1,839,"['Postsynaptic cell membrane; Multi-pass membrane protein', 'Cell projection, dendritic spine membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein']",91,9
Q8NET8,TRPV3,20.9,790,['Membrane; Multi-pass membrane protein'],29,5
Q8TDP1,RNASEH2C,48.2,164,['Nucleus'],3,17
Q8TEQ6,GEMIN5,16.3,1508,"['Nucleus, nucleoplasm', 'Nucleus, gem', 'Cytoplasm']",11,136
Q8WUN7,UBTD2,29.1,234,['Cytoplasm'],6,25
Q8WVM7,STAG1,21.9,1258,"['Nucleus', 'Chromosome', 'Chromosome, centromere']",30,78
Q8WVQ1,CANT1,22.4,401,"['Endoplasmic reticulum membrane; Single-pass type II membrane protein', 'Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein', 'Cell membrane']",18,63
Q92499,DDX1,7.0,740,"['Nucleus', 'Cytoplasm', 'Cytoplasmic granule', 'Cytoplasm, cytosol', 'Mitochondrion', 'Cytoplasm']",34,278
Q92574,TSC1,60.5,1164,"['Lysosome membrane; Peripheral membrane protein', 'Cytoplasm, cytosol']",62,237
Q92608,DOCK2,12.3,1830,"['Endomembrane system; Peripheral membrane protein', 'Cytoplasm, cytoskeleton']",22,58
Q92743,HTRA1,9.2,480,"['Cell membrane', 'Secreted', 'Cytoplasm, cytosol']",72,55
Q92785,DPF2,54.0,391,"['Nucleus', 'Cytoplasm']",27,304
Q92847,GHSR,14.8,366,['Cell membrane; Multi-pass membrane protein'],66,7
Q92854,SEMA4D,25.4,862,['Cell membrane; Single-pass type I membrane protein'],63,27
Q92871,PMM1,3.1,262,['Cytoplasm'],27,19
Q96AE4,FUBP1,50.5,644,['Nucleus'],78,159
Q96C86,DCPS,17.2,337,"['Cytoplasm', 'Nucleus']",0,372
Q96E14,RMI2,10.9,147,['Nucleus'],1,19
Q96EP1,CHFR,38.9,664,"['Nucleus, PML body']",40,65
Q96EQ8,RNF125,24.6,232,['Golgi apparatus membrane; Lipid-anchor'],37,36
Q96FQ6,S100A16,14.6,103,"['Nucleus, nucleolus', 'Cytoplasm']",43,54
Q96GX5,MASTL,61.1,879,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Nucleus', 'Cleavage furrow']",11,31
Q96MS0,ROBO3,42.4,1386,['Membrane; Single- pass type I membrane protein'],32,12
Q96PU8,QKI,44.0,341,"['Nucleus', 'Cytoplasm']",104,155
Q96Q11,TRNT1,6.2,434,"['Mitochondrion', 'Cytoplasm', 'Nucleus']",9,38
Q96QZ7,MAGI1,50.8,1491,"['Cell junction, tight junction', 'Cell membrane; Peripheral membrane protein']",62,159
Q96RD7,PANX1,20.2,426,"['Cell membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein']",53,260
Q96RJ3,TNFRSF13C,100.0,184,['Membrane; Single-pass type III membrane protein'],19,12
Q96ST2,IWS1,80.3,819,['Nucleus'],4,70
Q99250,SCN2A,28.5,2005,['Cell membrane; Multi-pass membrane protein'],17,6
Q99598,TSNAX,23.8,290,"['Cytoplasm, perinuclear region', 'Golgi apparatus', 'Nucleus']",11,129
Q99714,HSD17B10,0.0,261,"['Mitochondrion', 'Mitochondrion matrix, mitochondrion nucleoid']",12,369
Q99835,SMO,29.0,787,"['Cell membrane; Multi-pass membrane protein', 'Cell projection, cilium']",91,44
Q99986,VRK1,18.9,396,"['Nucleus', 'Cytoplasm', 'Nucleus, Cajal body']",62,249
Q9BPZ7,MAPKAP1,32.6,522,"['Cell membrane; Peripheral membrane protein', 'Cytoplasmic vesicle', 'Nucleus']",71,104
Q9BQ50,TREX2,0.0,236,['Nucleus'],0,48
Q9BRT9,GINS4,9.4,223,"['Nucleus', 'Chromosome', 'Cytoplasm']",58,60
Q9BRX5,GINS3,15.3,216,"['Nucleus', 'Chromosome']",42,59
Q9BRZ2,TRIM56,20.1,755,['Cytoplasm'],42,107
Q9BSQ5,CCM2,43.2,444,['Cytoplasm'],13,36
Q9BU02,THTPA,7.8,230,['Cytoplasm'],0,53
Q9BV68,RNF126,67.8,311,"['Cytoplasm', 'Nucleus']",13,128
Q9BXJ9,NAA15,9.6,866,"['Cytoplasm', 'Nucleus']",9,90
Q9BY41,HDAC8,3.2,377,"['Nucleus', 'Chromosome', 'Cytoplasm']",87,38
Q9BYC5,FUT8,17.9,575,"['Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein']",4,101
Q9BYF1,ACE2,9.2,805,"['[Processed angiotensin-converting enzyme 2]: Secreted', 'Cell membrane; Single-pass type I membrane protein', 'Cytoplasm', 'Cell projection, cilium', 'Apical cell membrane']",59,240
Q9BYG3,NIFK,49.5,293,"['Nucleus, nucleolus', 'Chromosome']",22,371
Q9BYI3,HYCC1,44.9,521,"['Cytoplasm, cytosol', 'Cell membrane']",11,29
Q9BZE9,ASPSCR1,42.5,553,"['Endomembrane system; Peripheral membrane protein', 'Endoplasmic reticulum-Golgi intermediate compartment membrane; Peripheral membrane protein', 'Cytoplasm', 'Nucleus']",18,61
Q9GZN7,ROGDI,3.5,287,"['Nucleus envelope', 'Presynapse', 'Cell projection, axon', 'Perikaryon', 'Cell projection, dendrite', 'Cytoplasmic vesicle, secretory vesicle, synaptic vesicle']",0,22
Q9H3L0,MMADHC,37.2,296,"['Cytoplasm', 'Mitochondrion']",0,29
Q9H3M7,TXNIP,22.5,391,['Cytoplasm'],106,167
Q9H3P2,NELFA,60.0,528,['Nucleus'],29,59
Q9H4L7,SMARCAD1,28.7,1026,"['Nucleus', 'Chromosome']",11,168
Q9H5I1,SUV39H2,10.5,410,"['Nucleus', 'Chromosome, centromere']",30,76
Q9H875,PRKRIP1,71.2,184,"['Nucleus', 'Nucleus, nucleolus']",0,20
Q9H9E3,COG4,10.8,785,"['Cytoplasm, cytosol', 'Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side']",4,86
Q9H9R9,DBNDD1,100.0,158,None,4,3
Q9HAV4,XPO5,6.5,1204,"['Nucleus', 'Cytoplasm']",38,174
Q9HBA0,TRPV4,27.6,871,"['Cell membrane', 'Apical cell membrane; Multi-pass membrane protein', 'Cell junction, adherens junction', 'Cell projection, cilium']",73,15
Q9HC35,EML4,31.1,981,"['Cytoplasm, cytoskeleton', 'Cytoplasm', 'Cytoplasm, cytoskeleton, spindle', 'Cytoplasm, cytoskeleton, microtubule organizing center', 'Midbody']",16,52
Q9HC77,CENPJ,75.8,1338,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole']",33,0
Q9HCB6,SPON1,20.4,807,"['Secreted, extracellular space, extracellular matrix']",32,18
Q9HD36,BCL2L10,17.6,204,"['Mitochondrion', 'Nucleus membrane', 'Endoplasmic reticulum', 'Cytoplasm, cytoskeleton, spindle']",96,24
Q9NP98,MYOZ1,87.3,299,"['Nucleus', 'Cell projection, pseudopodium']",10,42
Q9NPF0,CD320,70.6,282,['Cell membrane; Single-pass type I membrane protein'],2,53
Q9NPI8,FANCF,8.0,374,['Nucleus'],23,23
Q9NQC7,CYLD,23.0,956,"['Cytoplasm', 'Cytoplasm, perinuclear region', 'Cytoplasm, cytoskeleton', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle', 'Cytoplasm, cytoskeleton, cilium basal body']",127,799
Q9NQX3,GPHN,19.0,736,"['Postsynaptic cell membrane; Lipid- anchor; Cytoplasmic side', 'Cell membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasm, cytosol', 'Cytoplasm, cytoskeleton', 'Cell projection, dendrite', 'Postsynaptic density']",40,56
Q9NRI5,DISC1,53.4,854,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Mitochondrion', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Postsynaptic density']",24,825
Q9NRN7,AASDHPPT,8.7,309,"['Cytoplasm, cytosol']",1,59
Q9NV23,OLAH,4.5,265,"['Cytoplasm, cytosol']",7,1
Q9NWW9,PLAAT2,22.2,162,"['Cytoplasm', 'Membrane; Single-pass membrane protein']",0,0
Q9NXV2,KCTD5,30.3,234,"['Cytoplasm, cytosol', 'Cytoplasm', 'Nucleus']",15,67
Q9NYV4,CDK12,74.0,1490,"['Nucleus', 'Nucleus speckle']",38,121
Q9NZD4,AHSP,11.8,102,['Cytoplasm'],6,15
Q9UBK8,MTRR,12.0,698,None,44,11
Q9UBP0,SPAST,38.0,616,"['Membrane; Peripheral membrane protein', 'Endoplasmic reticulum', 'Midbody', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton', 'Cytoplasm, perinuclear region', 'Nucleus', 'Cytoplasm, cytoskeleton, spindle', 'Cytoplasm', 'Cell projection, axon']",46,34
Q9UBR1,UPB1,3.9,384,['Cytoplasm'],1,0
Q9UBT3,DKK4,46.9,224,['Secreted'],69,8
Q9UBU7,DBF4,79.5,674,['Nucleus'],17,29
Q9UBW5,BIN2,60.0,565,"['Cytoplasm', 'Cell projection, podosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm, cell cortex', 'Cell projection, phagocytic cup']",3,8
Q9UDY8,MALT1,18.8,824,"['Cytoplasm, perinuclear region', 'Nucleus']",57,64
Q9UHK0,NUFIP1,78.4,495,['Nucleus'],8,127
Q9UIF9,BAZ2A,58.0,1905,"['Nucleus, nucleolus']",47,55
Q9UII6,DUSP13B,12.6,198,None,2,0
Q9UK55,SERPINA10,13.3,444,['Secreted'],6,17
Q9UKK9,NUDT5,14.6,219,['Nucleus'],26,48
Q9UKY0,PRND,38.1,176,"['Cell membrane; Lipid-anchor, GPI-anchor']",16,8
Q9UL18,AGO1,4.3,857,"['Cytoplasm, P-body']",115,267
Q9UMD9,COL17A1,92.7,1497,"['Cell junction, hemidesmosome', 'Membrane; Single- pass type II membrane protein', '[120 kDa linear IgA disease antigen]: Secreted, extracellular space, extracellular matrix, basement membrane', '[97 kDa linear IgA disease antigen]: Secreted, extracellular space, extracellular matrix, basement membrane']",6,21
Q9UPP1,PHF8,58.5,1060,"['Nucleus', 'Nucleus, nucleolus']",51,154
Q9UPY3,DICER1,26.0,1922,"['Cytoplasm', 'Cytoplasm, perinuclear region']",130,211
Q9UQ80,PA2G4,8.9,394,None,81,215
Q9Y2Z0,SUGT1,24.9,365,"['Cytoplasm', 'Nucleus']",71,186
Q9Y4D1,DAAM1,25.5,1078,"['Cytoplasm', 'Cytoplasm, cytoskeleton, cilium basal body']",19,54
Q9Y4F1,FARP1,25.7,1045,"['Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Synapse', 'Synapse, synaptosome', 'Cytoplasm, cytosol', 'Cell projection, filopodium', 'Cell projection, dendrite', 'Cell projection, dendritic spine']",4,102
Q9Y4K0,LOXL2,7.5,774,"['Secreted, extracellular space, extracellular matrix, basement membrane', 'Nucleus', 'Chromosome', 'Endoplasmic reticulum']",93,86
Q9Y4U1,MMACHC,17.4,282,"['Cytoplasm, cytosol']",7,14
Q9Y5C1,ANGPTL3,35.0,460,"['Secreted', 'Cell projection, lamellipodium']",24,8
Q9Y5P4,CERT1,26.6,624,"['Cytoplasm', 'Golgi apparatus', 'Endoplasmic reticulum']",14,0
Q9Y5S1,TRPV2,19.6,764,"['Cell membrane; Multi-pass membrane protein', 'Cytoplasm', 'Melanosome']",34,25
Q9Y5S9,RBM8A,46.6,174,"['Nucleus', 'Nucleus speckle', 'Cytoplasm']",93,169
Q9Y696,CLIC4,4.7,253,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasmic vesicle membrane; Single-pass membrane protein', 'Nucleus', 'Cell membrane; Single-pass membrane protein', 'Mitochondrion', 'Cell junction']",76,101
Q9Y6I3,EPN1,69.8,576,"['Cytoplasm', 'Cell membrane; Peripheral membrane protein', 'Nucleus', 'Membrane, clathrin-coated pit']",32,93
Q9Y6K1,DNMT3A,34.8,912,"['Nucleus', 'Chromosome', 'Cytoplasm']",123,74
A8MTZ0,BBIP1,89.1,92,"['Cell projection, cilium', 'Cytoplasm']",1,9
O00418,EEF2K,27.3,725,None,61,157
O00499,BIN1,44.2,593,None,81,127
O00584,RNASET2,10.9,256,"['Secreted', 'Lysosome lumen', 'Endoplasmic reticulum lumen', 'Mitochondrion intermembrane space']",50,16
O14497,ARID1A,75.4,2285,['Nucleus'],40,150
O14746,TERT,15.3,1132,"['Nucleus, nucleolus', 'Nucleus, nucleoplasm', 'Nucleus', 'Chromosome, telomere', 'Cytoplasm', 'Nucleus, PML body']",31,101
O14775,GNB5,6.6,395,['Membrane'],34,0
O15431,SLC31A1,45.8,190,"['Cell membrane; Multi-pass membrane protein', 'Early endosome membrane; Multi-pass membrane protein', 'Recycling endosome membrane; Multi-pass membrane protein', 'Apical cell membrane; Multi-pass membrane protein', 'Late endosome membrane; Multi-pass membrane protein', 'Basolateral cell membrane; Multi-pass membrane protein']",39,169
O43665,RGS10,26.0,181,['Nucleus'],17,13
O43747,AP1G1,14.8,822,"['Golgi apparatus', 'Cytoplasmic vesicle, clathrin-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm', 'Cytoplasm, perinuclear region', 'Cytoplasmic vesicle, clathrin-coated vesicle', 'Membrane, clathrin-coated pit']",69,91
O60232,ZNRD2,37.7,199,None,2,0
O94885,SASH1,71.7,1247,['Cytoplasm'],67,45
O95433,AHSA1,16.0,338,"['Cytoplasm, cytosol', 'Endoplasmic reticulum']",21,216
O95470,SGPL1,12.3,568,['Endoplasmic reticulum membrane; Single-pass type III membrane protein; Cytoplasmic side'],51,151
O95831,AIFM1,21.0,613,"['Mitochondrion intermembrane space', 'Mitochondrion inner membrane', 'Cytoplasm', 'Nucleus', 'Cytoplasm, perinuclear region']",5,543
P02647,APOA1,98.9,267,['Secreted'],135,141
P02649,APOE,37.5,317,"['Secreted', 'Secreted, extracellular space', 'Secreted, extracellular space, extracellular matrix', 'Extracellular vesicle', 'Endosome, multivesicular body']",161,157
P05114,HMGN1,100.0,100,"['Nucleus', 'Cytoplasm']",9,115
P07196,NEFL,52.1,543,"['Cell projection, axon', 'Cytoplasm, cytoskeleton']",77,126
P14867,GABRA1,26.1,456,"['Postsynaptic cell membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle membrane; Multi-pass membrane protein']",8,13
P18507,GABRG2,29.8,475,"['Postsynaptic cell membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein', 'Cell projection, dendrite', 'Cytoplasmic vesicle membrane']",47,21
P21579,SYT1,28.2,422,"['Cytoplasmic vesicle, secretory vesicle membrane; Single-pass membrane protein', 'Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Single-pass membrane protein', 'Cytoplasmic vesicle, secretory vesicle, chromaffin granule membrane; Single-pass membrane protein', 'Cytoplasm']",33,73
P28472,GABRB3,26.8,473,"['Postsynaptic cell membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle membrane']",29,15
P28749,RBL1,28.9,1068,['Nucleus'],16,99
P29372,MPG,26.8,298,"['Cytoplasm', 'Mitochondrion matrix, mitochondrion nucleoid', 'Nucleus']",14,104
P30038,ALDH4A1,7.1,563,['Mitochondrion matrix'],1,79
P30519,HMOX2,26.9,316,"['Microsome membrane; Single-pass type IV membrane protein; Cytoplasmic side', 'Endoplasmic reticulum membrane; Single-pass type IV membrane protein; Cytoplasmic side']",42,248
P30531,SLC6A1,10.0,599,"['Cell membrane; Multi-pass membrane protein', 'Presynapse']",24,19
